name,year,f,m
Anakin,3/11/1995,0,5
Anakin,3/11/1996,0,6
Anakin,3/11/1997,0,14
Anakin,3/11/1998,0,26
Anakin,3/11/1999,0,114
Anakin,3/11/2000,0,96
Anakin,3/11/2001,0,66
Anakin,3/11/2002,0,69
Anakin,3/11/2003,0,54
Anakin,3/11/2004,0,66
Anakin,3/11/2005,0,133
Anakin,3/11/2006,0,120
Anakin,3/11/2007,0,102
Anakin,3/11/2008,0,101
Anakin,3/11/2009,0,119
Anakin,3/11/2010,0,100
Anakin,3/11/2011,0,91
Anakin,3/11/2012,0,127
Anakin,3/11/2013,0,143
Anakin,3/11/2014,0,220
Anakin,3/11/2015,0,236
Anakin,3/11/2016,7,305
Anakin,3/11/2017,6,320
Elon,3/11/1885,0,5
Elon,3/11/1886,0,0
Elon,3/11/1887,0,0
Elon,3/11/1888,0,0
Elon,3/11/1889,0,0
Elon,3/11/1890,0,0
Elon,3/11/1891,0,0
Elon,3/11/1892,0,0
Elon,3/11/1893,0,5
Elon,3/11/1894,0,0
Elon,3/11/1895,0,0
Elon,3/11/1896,0,0
Elon,3/11/1897,0,0
Elon,3/11/1898,0,0
Elon,3/11/1899,0,0
Elon,3/11/1900,0,0
Elon,3/11/1901,0,0
Elon,3/11/1902,0,0
Elon,3/11/1903,0,0
Elon,3/11/1904,6,0
Elon,3/11/1905,0,0
Elon,3/11/1906,0,0
Elon,3/11/1907,0,0
Elon,3/11/1908,6,0
Elon,3/11/1909,0,0
Elon,3/11/1910,0,0
Elon,3/11/1911,7,5
Elon,3/11/1912,0,8
Elon,3/11/1913,6,7
Elon,3/11/1914,0,8
Elon,3/11/1915,7,9
Elon,3/11/1916,8,15
Elon,3/11/1917,5,13
Elon,3/11/1918,0,9
Elon,3/11/1919,7,20
Elon,3/11/1920,6,10
Elon,3/11/1921,5,17
Elon,3/11/1922,0,12
Elon,3/11/1923,0,13
Elon,3/11/1924,0,18
Elon,3/11/1925,11,7
Elon,3/11/1926,5,11
Elon,3/11/1927,5,9
